,SYMBOL,START_DATE,END_DATE,PERCENTAGE
387,^GDAXI,1998-09-11,1998-09-14,25
388,^GDAXI,1998-09-17,1998-11-02,25
389,^GDAXI,1998-09-21,1998-09-22,30
390,^GDAXI,1998-10-01,1998-10-16,30
391,^GDAXI,1998-10-02,1998-10-12,35
392,^GDAXI,1998-11-10,1998-11-11,25
393,^GDAXI,1998-11-12,1998-11-16,25
394,^GDAXI,1998-12-01,1998-12-28,20
395,^GDAXI,1998-12-03,1998-12-04,25
396,^GDAXI,1998-12-08,1998-12-22,25
397,^GDAXI,1999-01-04,1999-01-05,20
398,^GDAXI,1999-01-07,1999-01-08,15
399,^GDAXI,1999-01-11,1999-04-28,15
400,^GDAXI,1999-01-13,1999-01-18,20
401,^GDAXI,1999-01-19,1999-01-20,20
402,^GDAXI,1999-01-22,1999-01-27,20
403,^GDAXI,1999-01-28,1999-01-29,20
404,^GDAXI,1999-02-09,1999-03-15,20
405,^GDAXI,1999-03-03,1999-03-05,25
406,^GDAXI,1999-03-23,1999-04-07,20
407,^GDAXI,1999-04-29,1999-04-30,15
408,^GDAXI,1999-05-05,1999-06-16,15
409,^GDAXI,1999-06-02,1999-06-04,20
410,^GDAXI,1999-06-25,1999-06-29,15
411,^GDAXI,1999-07-26,1999-08-25,15
412,^GDAXI,1999-08-02,1999-08-03,20
413,^GDAXI,1999-08-05,1999-08-09,20
414,^GDAXI,1999-08-10,1999-08-11,20
415,^GDAXI,1999-08-31,1999-09-06,15
416,^GDAXI,1999-09-17,1999-09-20,15
417,^GDAXI,1999-09-21,1999-10-07,15
418,^GDAXI,1999-10-13,1999-10-25,15
419,^GDAXI,2000-04-17,2000-04-18,15
420,^GDAXI,2000-05-22,2000-05-29,15
421,^GDAXI,2000-06-29,2000-07-05,15
422,^GDAXI,2000-07-06,2000-07-07,15
423,^GDAXI,2000-09-18,2000-10-31,15
424,^GDAXI,2000-09-22,2000-09-25,20
425,^GDAXI,2000-10-11,2000-10-16,20
426,^GDAXI,2000-10-18,2000-10-20,20
427,^GDAXI,2000-11-10,2007-02-15,15
428,^GDAXI,2000-11-22,2000-11-24,20
429,^GDAXI,2000-11-30,2000-12-06,20
430,^GDAXI,2000-12-07,2000-12-08,20
431,^GDAXI,2000-12-14,2001-01-17,20
432,^GDAXI,2001-02-09,2001-02-13,20
433,^GDAXI,2001-02-14,2006-12-14,20
434,^GDAXI,2001-02-23,2001-02-27,25
435,^GDAXI,2001-03-01,2001-03-05,25
436,^GDAXI,2001-03-12,2001-04-19,25
437,^GDAXI,2001-03-14,2001-03-15,30
438,^GDAXI,2001-03-19,2001-03-28,30
439,^GDAXI,2001-04-03,2001-04-10,30
440,^GDAXI,2001-04-20,2001-04-30,25
441,^GDAXI,2001-05-03,2001-05-11,25
442,^GDAXI,2001-05-14,2001-05-17,25
443,^GDAXI,2001-05-30,2001-06-04,25
444,^GDAXI,2001-06-12,2006-05-08,25
445,^GDAXI,2001-07-20,2001-07-23,30
446,^GDAXI,2001-07-24,2001-07-30,30
447,^GDAXI,2001-08-07,2006-02-10,30
448,^GDAXI,2001-08-17,2001-08-27,35
449,^GDAXI,2001-08-28,2002-03-08,35
450,^GDAXI,2001-09-06,2001-11-09,40
451,^GDAXI,2001-09-17,2001-09-18,50
452,^GDAXI,2001-09-19,2001-09-28,50
453,^GDAXI,2001-11-12,2001-11-14,40
454,^GDAXI,2001-11-29,2001-11-30,40
455,^GDAXI,2001-12-03,2001-12-04,40
456,^GDAXI,2001-12-21,2001-12-27,40
457,^GDAXI,2002-02-05,2002-02-14,40
458,^GDAXI,2002-02-15,2002-02-27,40
459,^GDAXI,2002-03-12,2002-03-18,35
460,^GDAXI,2002-04-03,2002-04-17,35
461,^GDAXI,2002-04-18,2005-12-12,35
462,^GDAXI,2002-05-03,2002-05-09,40
463,^GDAXI,2002-05-10,2002-05-14,40
464,^GDAXI,2002-05-23,2002-05-27,40
465,^GDAXI,2002-05-29,2005-08-02,40
466,^GDAXI,2002-06-24,2002-06-25,50
467,^GDAXI,2002-06-26,2002-06-27,50
468,^GDAXI,2002-07-11,2002-07-12,50
469,^GDAXI,2002-07-15,2004-01-16,50
470,^GDAXI,2002-08-06,2002-08-07,60
471,^GDAXI,2002-09-17,2002-11-05,60
472,^GDAXI,2002-11-07,2002-11-22,60
473,^GDAXI,2002-11-26,2002-11-28,60
474,^GDAXI,2002-12-04,2003-06-17,60
475,^GDAXI,2003-02-26,2003-02-28,70
476,^GDAXI,2003-03-06,2003-03-18,70
477,^GDAXI,2003-03-31,2003-04-02,70
478,^GDAXI,2003-06-19,2003-07-08,60
479,^GDAXI,2003-07-11,2003-07-14,60
480,^GDAXI,2003-07-22,2003-07-23,60
481,^GDAXI,2003-09-30,2003-10-02,60
482,^GDAXI,2004-01-30,2004-02-10,50
483,^GDAXI,2004-02-13,2004-02-17,50
484,^GDAXI,2004-02-20,2004-03-04,50
485,^GDAXI,2004-03-10,2004-04-23,50
486,^GDAXI,2004-04-28,2004-11-10,50
487,^GDAXI,2005-08-04,2005-08-10,40
488,^GDAXI,2005-08-16,2005-08-22,40
489,^GDAXI,2005-08-24,2005-09-06,40
490,^GDAXI,2005-09-19,2005-09-20,40
491,^GDAXI,2005-09-21,2005-09-26,40
492,^GDAXI,2005-10-19,2005-11-01,40
493,^GDAXI,2005-12-13,2005-12-16,35
494,^GDAXI,2006-02-13,2006-02-14,30
495,^GDAXI,2006-03-03,2006-03-06,30
496,^GDAXI,2006-03-08,2006-03-10,30
497,^GDAXI,2006-05-09,2006-05-10,25
498,^GDAXI,2006-05-11,2006-10-12,25
499,^GDAXI,2006-05-17,2006-05-26,30
500,^GDAXI,2006-05-30,2006-08-16,30
501,^GDAXI,2006-06-13,2006-06-15,35
502,^GDAXI,2006-12-22,2006-12-27,20
503,^GDAXI,2007-02-27,2007-04-03,15
504,^GDAXI,2007-03-05,2007-03-06,20
505,^GDAXI,2007-03-14,2007-03-16,20
506,^GDAXI,2008-01-21,2008-02-04,15
507,^GDAXI,2008-01-22,2008-01-24,20
508,^GDAXI,2008-02-05,2008-02-14,15
509,^GDAXI,2008-02-15,2008-05-02,15
510,^GDAXI,2008-03-04,2008-03-05,20
511,^GDAXI,2008-03-07,2008-03-12,20
512,^GDAXI,2008-03-13,2008-03-28,20
513,^GDAXI,2008-03-31,2008-04-02,20
514,^GDAXI,2008-04-14,2008-04-15,20
515,^GDAXI,2008-05-26,2008-05-28,15
516,^GDAXI,2008-06-04,2010-12-07,15
517,^GDAXI,2008-06-24,2008-06-25,20
518,^GDAXI,2008-06-26,2008-08-11,20
519,^GDAXI,2008-07-15,2008-07-17,25
520,^GDAXI,2008-08-13,2010-10-22,20
521,^GDAXI,2008-09-05,2008-09-08,25
522,^GDAXI,2008-09-11,2008-09-12,25
523,^GDAXI,2008-09-15,2010-03-29,25
524,^GDAXI,2008-09-30,2008-10-01,30
525,^GDAXI,2008-10-02,2009-10-12,30
526,^GDAXI,2008-10-06,2008-10-07,35
527,^GDAXI,2008-10-08,2009-07-31,35
528,^GDAXI,2008-10-08,2008-10-14,40
529,^GDAXI,2008-10-15,2008-11-03,40
530,^GDAXI,2008-10-24,2008-10-28,50
531,^GDAXI,2008-11-06,2008-11-10,40
532,^GDAXI,2008-11-11,2009-01-05,40
533,^GDAXI,2008-11-21,2008-11-24,50
534,^GDAXI,2009-01-08,2009-05-20,40
535,^GDAXI,2009-01-23,2009-01-26,50
536,^GDAXI,2009-02-20,2009-03-23,50
537,^GDAXI,2009-03-30,2009-04-02,50
538,^GDAXI,2009-05-21,2009-05-27,40
539,^GDAXI,2009-05-28,2009-05-29,40
540,^GDAXI,2009-06-15,2009-07-16,40
541,^GDAXI,2009-08-11,2009-08-13,35
542,^GDAXI,2009-08-14,2009-08-24,35
543,^GDAXI,2009-09-02,2009-09-04,35
544,^GDAXI,2009-10-13,2009-10-14,30
545,^GDAXI,2009-10-26,2009-11-16,30
546,^GDAXI,2009-11-19,2009-11-24,30
547,^GDAXI,2009-11-26,2009-12-02,30
548,^GDAXI,2009-12-08,2009-12-11,30
549,^GDAXI,2010-01-22,2010-03-02,30
550,^GDAXI,2010-03-31,2010-04-01,25
551,^GDAXI,2010-04-28,2010-05-13,25
552,^GDAXI,2010-05-07,2010-05-10,30
553,^GDAXI,2010-05-14,2010-05-18,25
554,^GDAXI,2010-05-19,2010-06-16,25
555,^GDAXI,2010-05-21,2010-05-24,30
556,^GDAXI,2010-05-25,2010-05-26,30
557,^GDAXI,2010-06-24,2010-07-14,25
558,^GDAXI,2010-07-16,2010-07-26,25
559,^GDAXI,2010-07-30,2010-08-02,25
560,^GDAXI,2010-08-12,2010-08-17,25
561,^GDAXI,2010-08-19,2010-09-06,25
562,^GDAXI,2010-09-07,2010-09-09,25
563,^GDAXI,2010-12-30,2011-01-03,15
564,^GDAXI,2011-01-05,2011-01-06,15
565,^GDAXI,2011-01-10,2011-01-12,15
566,^GDAXI,2011-03-14,2011-03-30,15
